,PICARD_PCT,RIKER_PCT,DATA_PCT,WORF_PCT,TROI_PCT,BEVERLY_PCT,GEORDI_PCT,Q_PCT,LORE_PCT,WESLEY_PCT,GUINAN_PCT,TASHA_PCT,PULASKI_PCT,RATING
0,33.46,31.58,10.44,1.69,0.0,4.26,5.21,6.05,0.0,4.52,0.0,2.79,0.0,7.5
1,11.47,3.01,26.08,25.44,14.94,4.23,14.82,0.0,0.0,0.0,0.0,0.0,0.0,7.599337748344327
2,27.32,42.75,7.88,8.6,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,3.25,8.099999999999946
3,39.13,24.34,11.6,1.94,3.09,0.92,16.36,0.0,0.0,2.63,0.0,0.0,0.0,6.800000000000009
4,41.64,9.67,18.77,5.32,2.31,5.44,16.85,0.0,0.0,0.0,0.0,0.0,0.0,7.300000000000029
5,39.27,6.1,14.12,4.62,4.9,11.55,7.46,9.44,0.0,0.0,0.0,2.54,0.0,8.5
6,42.47,18.29,8.61,2.45,3.18,9.29,2.8,10.24,0.0,2.67,0.0,0.0,0.0,7.4000000000000545
7,12.8,26.11,18.57,2.77,10.22,13.69,6.21,0.0,0.0,2.23,0.0,7.39,0.0,5.599999999999964
8,8.72,15.11,0.94,4.65,0.03,12.74,25.84,31.97,0.0,0.0,0.0,0.0,0.0,6.099999999999963
9,30.28,26.48,3.75,3.8,1.84,33.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.400000000000051
10,8.81,1.26,41.32,29.01,3.88,2.45,13.28,0.0,0.0,0.0,0.0,0.0,0.0,7.5
11,9.55,1.78,1.53,67.03,1.04,0.59,1.53,16.93,0.0,0.0,0.0,0.0,0.0,7.300000000000001
12,53.02,4.1,15.48,3.45,3.0,10.6,10.35,0.0,0.0,0.0,0.0,0.0,0.0,6.5
13,24.63,13.12,12.72,3.24,0.4,1.74,39.52,0.0,0.0,2.28,2.36,0.0,0.0,7.400000000000056
14,15.48,18.46,22.96,4.92,0.9,8.86,10.66,0.0,15.06,2.7,0.0,0.0,0.0,7.900000000000057
15,69.2,15.49,0.0,1.58,7.32,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999969
16,14.65,7.62,18.45,3.86,1.78,27.88,25.76,0.0,0.0,0.0,0.0,0.0,0.0,8.90000000000005
17,42.4,18.78,3.91,6.43,8.43,13.28,6.76,0.0,0.0,0.0,0.0,0.0,0.0,8.300000000000015
18,38.47,16.72,9.32,4.75,3.73,5.48,21.53,0.0,0.0,0.0,0.0,0.0,0.0,8.80000000000004
19,40.21,5.08,22.59,4.21,5.53,10.68,8.36,0.0,0.0,0.0,3.32,0.0,0.0,8.300000000000065
20,34.01,14.78,15.31,0.0,13.42,4.93,4.13,0.0,0.0,0.41,0.0,13.01,0.0,5.200000000000031
21,31.74,10.84,5.65,5.65,1.24,1.62,4.14,15.36,0.0,21.35,0.0,2.41,0.0,7.0999999999999455
22,41.19,11.31,17.02,4.41,3.61,6.16,4.87,11.42,0.0,0.0,0.0,0.0,0.0,8.099999999999946
23,39.79,15.51,15.27,7.91,3.35,0.0,13.13,0.0,0.0,3.74,0.0,0.0,1.29,7.599999999999945
24,19.58,19.28,14.79,10.76,10.7,10.38,14.52,0.0,0.0,0.0,0.0,0.0,0.0,8.300000000000061
25,18.61,5.73,15.94,14.05,26.93,0.0,18.74,0.0,0.0,0.0,0.0,0.0,0.0,6.299999999999997
26,13.1,1.59,2.07,0.4,61.37,11.67,0.16,9.64,0.0,0.0,0.0,0.0,0.0,6.400000000000043
27,31.35,26.52,17.38,7.98,7.41,1.24,8.12,0.0,0.0,0.0,0.0,0.0,0.0,8.599999999999946
28,14.13,4.4,57.0,4.35,3.06,12.58,4.48,0.0,0.0,0.0,0.0,0.0,0.0,8.099999999999945
29,19.69,11.71,20.08,1.98,0.0,4.25,6.06,0.0,23.89,6.48,0.0,5.85,0.0,7.699999999999984
30,30.47,13.63,22.75,7.72,4.97,1.43,18.58,0.0,0.46,0.0,0.0,0.0,0.0,8.300000000000024
31,12.11,8.55,19.0,2.87,3.33,16.8,11.7,0.0,25.64,0.0,0.0,0.0,0.0,7.900000000000057
32,59.66,2.92,26.26,1.94,2.11,0.66,6.44,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999964
33,30.66,13.16,14.83,10.05,10.41,8.69,12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.800000000000026
34,16.94,5.59,13.0,3.37,0.35,1.62,12.36,45.08,0.0,0.0,1.7,0.0,0.0,8.5
35,15.46,1.67,37.66,1.27,1.83,0.0,27.14,0.0,0.0,0.0,0.0,0.0,14.95,8.199999999999948
36,20.73,9.12,30.63,2.8,10.25,3.73,22.74,0.0,0.0,0.0,0.0,0.0,0.0,6.5999999999999535
37,37.77,18.67,8.27,3.89,6.85,4.65,1.06,12.41,0.0,2.06,0.0,4.38,0.0,6.900000000000005
38,66.18,8.31,5.44,4.94,1.31,1.24,1.31,0.0,0.0,0.0,11.26,0.0,0.0,7.800000000000051
39,13.99,18.77,0.61,17.09,5.97,41.12,2.46,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999993
40,31.93,6.45,13.84,4.25,5.6,13.3,5.24,0.0,0.0,15.94,3.45,0.0,0.0,6.599999999999952
41,7.38,7.04,7.53,18.35,45.62,7.1,6.98,0.0,0.0,0.0,0.0,0.0,0.0,6.699999999999982
42,24.23,7.0,9.42,3.0,53.93,1.95,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.900000000000055
43,51.25,7.38,0.0,13.43,8.76,9.15,1.43,0.0,0.0,0.98,7.62,0.0,0.0,8.099999999999943
44,30.27,15.15,10.09,2.84,1.52,4.96,8.38,0.0,0.0,26.79,0.0,0.0,0.0,6.799999999999997
45,59.41,19.35,2.48,1.37,9.32,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.900000000000052
46,7.29,20.25,6.4,50.32,6.2,0.12,2.25,7.17,0.0,0.0,0.0,0.0,0.0,6.699999999999964
