,episode,PICARD,WORF,BEVERLY,GEORDI,TROI,DATA,RIKER,WES,GUINAN,TASHA,PULASKI,Q,LORE,Total_Word_Count
0,11001001,1067,54.0,136.0,166.0,0.0,333.0,1007,144.0,0.0,89.0,0.0,193.0,0.0,3189.0
1,a fistful of datas,271,601.0,100.0,350.0,353.0,616.0,71,0.0,0.0,0.0,0.0,0.0,0.0,2362.0
2,a matter of honor,648,204.0,0.0,0.0,0.0,187.0,1014,242.0,0.0,0.0,77.0,0.0,0.0,2372.0
3,a matter of perspective,1191,59.0,28.0,498.0,94.0,353.0,741,80.0,0.0,0.0,0.0,0.0,0.0,3044.0
4,a matter of time,1369,175.0,179.0,554.0,76.0,617.0,318,0.0,0.0,0.0,0.0,0.0,0.0,3288.0
5,all good things...,3843,452.0,1130.0,730.0,480.0,1382.0,597,0.0,0.0,249.0,0.0,924.0,0.0,9787.0
6,allegiance,987,57.0,216.0,65.0,74.0,200.0,425,62.0,0.0,0.0,0.0,238.0,0.0,2324.0
7,angel one,402,87.0,430.0,195.0,321.0,583.0,820,70.0,0.0,232.0,0.0,0.0,0.0,3140.0
8,aquiel,343,183.0,501.0,1016.0,1.0,37.0,594,0.0,0.0,0.0,0.0,1257.0,0.0,3932.0
9,attached,1051,132.0,1175.0,0.0,64.0,130.0,919,0.0,0.0,0.0,0.0,0.0,0.0,3471.0
10,birthright: part 1,209,688.0,58.0,315.0,92.0,980.0,30,0.0,0.0,0.0,0.0,0.0,0.0,2372.0
11,birthright: part 2,193,1354.0,12.0,31.0,21.0,31.0,36,0.0,0.0,0.0,0.0,342.0,0.0,2020.0
12,bloodlines,1890,123.0,378.0,369.0,107.0,552.0,146,0.0,0.0,0.0,0.0,0.0,0.0,3565.0
13,booby trap,920,121.0,65.0,1476.0,15.0,475.0,490,85.0,88.0,0.0,0.0,0.0,0.0,3735.0
14,brothers,447,142.0,256.0,308.0,26.0,663.0,533,78.0,0.0,0.0,0.0,0.0,435.0,2888.0
15,captain's holiday,1447,33.0,134.0,0.0,153.0,0.0,324,0.0,0.0,0.0,0.0,0.0,0.0,2091.0
16,cause and effect,421,111.0,801.0,740.0,51.0,530.0,219,0.0,0.0,0.0,0.0,0.0,0.0,2873.0
17,chain of command: part 1,910,138.0,285.0,145.0,181.0,84.0,403,0.0,0.0,0.0,0.0,0.0,0.0,2146.0
18,chain of command: part 2,681,84.0,97.0,381.0,66.0,165.0,296,0.0,0.0,0.0,0.0,0.0,0.0,1770.0
19,clues,1803,189.0,479.0,375.0,248.0,1013.0,228,0.0,149.0,0.0,0.0,0.0,0.0,4484.0
20,code of honor,1153,0.0,167.0,140.0,455.0,519.0,501,14.0,0.0,441.0,0.0,0.0,0.0,3390.0
21,coming of age,843,150.0,43.0,110.0,33.0,150.0,288,567.0,0.0,64.0,0.0,408.0,0.0,2656.0
