,Unnamed: 0,episode,productionnumber,setnames,characters,act,scenenumber,scenedetails,partnumber,type,who,text,speechdescription,Released,Episode,imdbRating,imdbID,Season
62465,62466,disaster,#40275-205,"USS ENTERPRISE,USS ENTERPRISE,MAIN BRIDGE,OBSERVATION LOUNGE,TURBOLIFT,TURBO SHAFT,TEN-FORWARD,CARGO BAY,JEFFRIES TUBE,ENGINEERING,SICKBAY,CORRIDOR,STAR TREK: ""Disaster"" - REV. 8/12/91 - TEASER,1.,STAR TREK: THE NEXT GENERATION","PICARD,LIEUTENANT MONROE,RIKER,ENSIGN MANDEL,DATA,MARISSA,BEVERLY,PATTERSON,TROI,JAY GORDON,GEORDI,WORF,O'BRIEN,KEIKO,RO,Non-Speaking,SUPERNUMERARIES",FOUR,49B,,461,description,, Patterson closes his eyes and trembles slightly.,False,1991-10-19,5.0,7.8,tt0708703,5.0
98609,98610,force of nature,#40277-261,"USS ENTERPRISE,USS ENTERPRISE,BRIDGE,GEORDI'S QUARTERS/BEDROOM  ALIEN SHIP,OBSERVATION LOUNGE,ENGINEERING,JEFFERIES TUBE,DATA'S QUARTERS,STELLAR PHOTOGRAPHY LAB,READY ROOM,TEN FORWARD    STAR TREK: ""Force of Nature"" - 09/17/93 - PRONUNCIATION GUIDE,STAR TREK: THE NEXT GENERATION,""Force of Nature"",PRONUNCIATION GUIDE,HEKARAS,huh-CARE-us,RABAL,ruh-BALL,SEROVA,suh-ROE-va,TETRYON,TEH-tree-on,VERTERON,VURR-ter-on,STAR TREK: ""Force of Nature"" - 09/17/93 - TEASER,1.,STAR TREK: The Next Generation","PICARD,PRAK,RIKER,RABAL,DATA,SEROVA,BEVERLY,TROI,WORF,GEORDI,Non-Speaking,N.D. SUPERNUMERARIES,N.D. SECURITY,SPOT",THREE,25 ,,323,speech, RABAL," Captain, according to our research, warp fields are causing a dangerous reaction in this region of space.",False,1993-11-13,9.0,6.4,tt0708717,7.0
10245,10246,when the bough breaks,#40271-118,"USS ENTERPRISE,USS ENTERPRISE,CORRIDORS,MAIN BRIDGE,PLANET - ALDEA,CLASSROOM,FAMILY QUARTERS,KATIE'S BEDROOM (CORNER OF),OBSERVATION LOUNGE,TURBOLIFT,BEVERLY'S OFFICE,TRANSPORTER ROOM,PLANET - ALDEA,FIRST UNIT CHAMBER,RASHELLA'S QUARTERS,FIRST UNIT CHAMBER FOYER,TELEPORT ARCH,COMPUTER (CUSTODIAN) ROOM,ARTISTS' UNIT,WESLEY'S ROOM,MELIAN'S MUSIC ROOM,KATIE'S QUARTERS,CORRIDORS,POWER ROOM,STAR TREK: ""When the Bough... "" - 12/11/87 - TEASER,1.,STAR TREK: THE NEXT GENERATION,""When the Bough Breaks""  ","PICARD,ALDEANS,RIKER,RASHELLA,BEVERLY,RADUE,DATA,DUANA,TROI,ACCOLAN,TASHA,LEDA,WORF,MELIAN,GEORDI,WESLEY,Non-Speaking,GAREN,COUPLE,HARRY,THREE ADULTS,DR. BERNARD,TOYA,Voice-Over,ALEXANDRA,CUSTODIAN'S VOICE,KATIE,Non-Speaking,ROSE,TARA,MASON,CREWMEMBERS,PARENTS,CLASSMATES,Voice-Over,COMPUTER VOICE",FOUR,58 ,,488,speech, BEVERLY, No. That doesn't fit the pattern. Give me a list of the appropriate medical literature from the twenty-second century.,False,1988-02-13,16.0,6.3,tt0708841,1.0
85461,85462,tapestry,#40276-241,"USS ENTERPRISE,USS ENTERPRISE,MAIN BRIDGE,SICKBAY,TEN FORWARD,TURBOLIFT,BEVERLY'S OFFICE,TROI'S OFFICE,OBSERVATION LOUNGE,STARBASE,PICARD'S QUARTERS,MARTA'S QUARTERS,BONESTELL FACILITY,GAMBLING CENTER,BAR,STAR TREK: ""Tapestry"" - REV. 12/03/92 - PRONUNCIATION,STAR TREK: THE NEXT GENERATION,""Tapestry"",PRONUNCIATION GUIDE,BATANIDES,buh-TAN-ih-deez,BONESTELL,BON-es-tell,NAUSICAAN,NAW-si-can,SCOBEE,SKO-bee","PICARD,Q,RIKER,MARTA,DATA,MAURICE,BEVERLY,NAUSICAAN #1,TROI,MALE VOICE,WORF,PENNY,GEORDI,COREY,COMPUTER VOICE,Non-Speaking,TWO NAUSICAAN'S ",TWO,15 ,,123,speech, COREY," Of course it's me... boy, she must've hit you pretty hard.",True,1993-02-13,15.0,8.8,tt0708782,6.0
60136,60137,redemption ii,#40275-201,"USS ENTERPRISE,USS ENTERPRISE,MAIN BRIDGE,CAPTAIN'S READY ROOM,USS EXCALIBUR,OBSERVATION LOUNGE,USS SUTHERLAND,USS EXCALIBUR,BRIDGE,STARBASE,USS SUTHERLAND,FLEET LEAVING SPACEDOCK,BRIDGE,ROMULAN WARBIRD,ROMULAN WARBIRD,COMMAND CENTER,3 ROMULAN SUPPLY SHIPS,KLINGON BIRD OF PREY,KLINGON BIRD OF PREY,BRIDGE,2 KLINGON SHIPS,KLINGON HOME WORLD,GREAT HALL,KLINGON CITY (MATTE),DURAS HOME,NIGHTCLUB    STAR TREK: ""Redemption II"" - REV. 7/3/91 - PRONUNCIATION GUIDE,STAR TREK: THE NEXT GENERATION,""Redemption II"",PRONUNCIATION GUIDE,CH pronounced as in chew or artichoke,Akagi,ah-KAH-gee,Bah,BAH (gutteral ""H""),Berellian,ber-EL-ee-'n,Beta Lankal,bay-tah lan-KAL,B'Etor,be-TOR,DaH,DAH,Duras,DYUR-as,Gamma Eridon,gam-uh AIR-ih-don,GhoS,GOZ,Hegh'ta,heg-TA,Hermes,HER-meez,K'Tal,Ka-TAL,Kulge,(ryhmes with bulge),Kurn,KURN,Larg,larg,Lursa,LUR-suh,Mempa,MEM-pah,Mogh,MOHG,Qapla',Khap-LA,Shanthi,SHAWN-tee,STAR TREK: ""RedemptionII"" - REV. 7/3/91 - PRONUNCIATION GUIDE,CONTINUED:,Sela,SEE-lah,tachyon,TACK-ee-on,Tian Nan Men    TEE-IN-ah-men,Toral,TO-ral,STAR TREK: ""Redemption II"" - REV. 7/3/91 - TEASER,1.,STAR TREK: THE NEXT GENERATION","PICARD,ADMIRAL SHANTHI,RIKER,CHRISTOPHER HOBSON,DATA,SELA,BEVERLY,LARG,TROI,KULGE,GEORDI,KURN,WORF,GOWRON,MOVAR,O'BRIEN,LURSA,GUINAN,B'ETOR,TORAL,Non-Speaking,SUPERNUMERARIES,KLINGON HELMSMAN,ENSIGN CRAIG,STARFLEET ADMIRAL,N.D. STARFLEET CREW,Non-Speaking,N.D. KLINGONS,KLINGON GUARD,2 KLINGON THUGS,N.D. KLINGON BRIDGE CREW,KLINGON COUNCIL MEMBERS,ROMULAN GUARD ",FIVE,76 ,,570,description,, Data EXITS. Hold on Picard as he allows himself to smile slightly at how well Data has learned.,False,1991-09-21,1.0,8.3,tt0170501,5.0
3261,3262,where no one has gone before,#40271-106,,,FOUR,92 ,,347,description,, at the unknown part of the universe as described.,False,1987-10-24,5.0,7.6,tt0708842,1.0
12670,12671,skin of evil,#40271-122,"USS ENTERPRISE,USS ENTERPRISE,MAIN BRIDGE,MAIN ENGINEERING,SHUTTLECRAFT,TRANSPORTER ROOM,SICKBAY,VAGRA 2 [PRONOUNCED: ""VAY-GRA""],OBSERVATION LOUNGE,PASTORAL AREA,SHUTTLECRAFT","PICARD,ARMUS (THE SHROUD),RIKER,BEVERLY,DATA,TROI,TASHA,WORF,GEORDI,WESLEY,LIEUTENANT COMMANDER LELAND T. LYNCH,NURSE,LIEUTENANT BEN PRIETO [PRONOUNCED: ""PREE-ET-TOE""],Non-Speaking,TWO MEDICAL TECHNICIANS,TRANSPORTER CHIEF,Voice-Over,COMPUTER VOICE",THREE,51 ,,391,description,, ARMUS pulls the tricorder out of Data's hands and sails it over the horizon.,False,1988-04-23,22.0,6.8,tt0708776,1.0
69560,69561,ethics,#40275-216,"USS ENTERPRISE,USS ENTERPRISE,MAIN BRIDGE,CAPTAIN'S READY ROOM,TRANSPORTER ROOM,CORRIDOR,CARGO BAY,SHUTTLEBAY,TROI'S QUARTERS,RIKER'S QUARTERS,SICKBAY,BEVERLY'S OFFICE,MEDICAL LAB,WORF'S SICKBAY ROOM,STAR TREK: ""Ethics"" - REV. 12/13/91 - TEASER,1.,STAR TREK: THE NEXT GENERATION","PICARD,DOCTOR TOBY RUSSELL,RIKER,ALEXANDER,DATA,BEVERLY,TROI,GEORDI,WORF,Non-Speaking,NURSE OGAWA,INJURED CREW & CIVILIANS,TRANSPORTER TECHICIAN   AN INJURED MAN,AN INJURED WOMAN,Non-Speaking,SUPERNUMERARIES,DOCTORS,NURSES,CIVILIAN MEDICS",TWO,26 ,,225,speech, WORF, Please proceed.,False,1992-02-29,16.0,7.2,tt0708709,5.0
75382,75383,the inner light,#40275-225,"USS ENTERPRISE,USS ENTERPRISE,MAIN BRIDGE,PICARD'S QUARTERS,PROBE,KAMIN MAIN ROOM,KAMIN HOME,COURTYARD & GARDEN,TOWN SQUARE,OPEN FIELD    STAR TREK: ""The Inner Light"" - REV 03/27/92 - PRONUNCIATION,STAR TREK: THE NEXT GENERATION,""The Inner Light"",PRONUNCIATION GUIDE,BATAI,b'TIE,ELINE,el-EEN,EMIRISTOL,em-er-IS-tahl,KAMIE,KAY-mee,KAMIN,KAY-min,KATAAN,K'-TAHN,KENOMAY,KEN-oh-may,MERIBOR,MARE-ih-bore,NUCLEONIC,noo-klee-AHN-ik,RESSIK,RESS-ik,STAR TREK: ""The Inner Light"" - 3/24/92 - TEASER,1.,STAR TREK: THE NEXT GENERATION","PICARD,ELINE,RIKER,BATAI,DATA,ADMINISTRATOR,BEVERLY,MERIBOR,YOUNG BATAI,GEORDI,WORF,Non-Speaking,NURSE OGAWA,TOWNSPEOPLE,INFANT SON,Non-Speaking,SUPERNUMERARIES,SUPERNUMERARIES,MEDICAL TEAM",TWO,29 ,,204,speech, ELINE, I think you're still trying to figure out where you are... where that ship of yours is... what you can do to get back to that life...,False,1992-05-30,25.0,9.3,tt0708803,5.0
62585,62586,disaster,#40275-205,"USS ENTERPRISE,USS ENTERPRISE,MAIN BRIDGE,OBSERVATION LOUNGE,TURBOLIFT,TURBO SHAFT,TEN-FORWARD,CARGO BAY,JEFFRIES TUBE,ENGINEERING,SICKBAY,CORRIDOR,STAR TREK: ""Disaster"" - REV. 8/12/91 - TEASER,1.,STAR TREK: THE NEXT GENERATION","PICARD,LIEUTENANT MONROE,RIKER,ENSIGN MANDEL,DATA,MARISSA,BEVERLY,PATTERSON,TROI,JAY GORDON,GEORDI,WORF,O'BRIEN,KEIKO,RO,Non-Speaking,SUPERNUMERARIES",FIVE,77 ,,581,speech, KEIKO," Well, I'm sorry...",False,1991-10-19,5.0,7.8,tt0708703,5.0
